책 이름,판매 지수,평점,가격,리뷰 수,총페이지,무게,크기,카테고리,발매날짜,링크
만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),579201.0,9.6,15480.0,119.0,280.0,408.0,145*210*18mm,인문,2022-11-11,https://www.yes24.com//Product/Goods/115142458
아버지의 해방일지,611523.0,9.6,13500.0,284.0,268.0,288.0,122*188*16mm,소설/시/희곡,2022-09-02,https://www.yes24.com//Product/Goods/112253263
고전의 숲,29700.0,9.9,15750.0,8.0,292.0,496.0,152*214*16mm,청소년,2023-06-05,https://www.yes24.com//Product/Goods/119243875
"딸아, 돈 공부 절대 미루지 마라",50949.0,9.8,16200.0,18.0,312.0,454.0,145*217*18mm,자기계발,2023-05-22,https://www.yes24.com//Product/Goods/118858218
이적의 단어들,85596.0,9.7,13320.0,41.0,224.0,346.0,125*205*20mm,에세이,2023-05-25,https://www.yes24.com//Product/Goods/119116577
흔한남매 13,192651.0,9.8,13050.0,73.0,180.0,505.0,148*210*20mm,어린이,2023-04-25,https://www.yes24.com//Product/Goods/118499482
흔한남매 별난 세계 여행 1 ,79728.0,10.0,12600.0,49.0,132.0,512.0,148*210*20mm,어린이,2023-05-25,https://www.yes24.com//Product/Goods/119016883
물고기는 존재하지 않는다,339912.0,9.0,15300.0,297.0,300.0,480.0,135*210*20mm,자연과학,2021-12-17,https://www.yes24.com//Product/Goods/105526047
바다가 들리는 편의점,91758.0,9.8,14400.0,36.0,388.0,540.0,135*200*30mm,소설/시/희곡,2023-03-24,https://www.yes24.com//Product/Goods/118040295
풍수전쟁,77868.0,9.5,15120.0,40.0,304.0,446.0,136*200*30mm,소설/시/희곡,2023-05-24,https://www.yes24.com//Product/Goods/118966491
이은경쌤의 초등어휘일력 365 ,396288.0,9.9,16920.0,62.0,384.0,536.0,126*178*30mm,가정 살림,2022-10-28,https://www.yes24.com//Product/Goods/114853233
"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",234354.0,10.0,13950.0,16.0,320.0,1046.0,300*225*30mm,수험서 자격증,2022-12-05,https://www.yes24.com//Product/Goods/116206629
긴긴밤,427077.0,9.8,10350.0,335.0,144.0,340.0,153*220*11mm,어린이,2021-02-03,https://www.yes24.com//Product/Goods/97255028
밥 프록터 부의 원리,33009.0,9.8,16920.0,18.0,340.0,530.0,140*200*26mm,자기계발,2023-06-15,https://www.yes24.com//Product/Goods/119001260
나의 돈 많은 고등학교 친구,148074.0,9.6,16200.0,95.0,368.0,,135*195*25mm,자기계발,2023-04-28,https://www.yes24.com//Product/Goods/118468152
