책 이름,판매 지수,평점,가격,리뷰 수,총페이지,무게,크기,카테고리,발매날짜,링크
팥빙수의 전설,65238.0,9.8,11700.0,90.0,56.0,398.0,210*250*8mm,유아,2019-06-07,https://www.yes24.com//Product/Goods/74806358
AI 이후의 세계,49680.0,9.2,17820.0,20.0,296.0,444.0,145*220*20mm,경제 경영,2023-05-22,https://www.yes24.com//Product/Goods/118505257
상처 주는 말 하는 친구에게 똑똑하게 말하는 법,89496.0,9.9,11700.0,42.0,172.0,322.0,152*215*10mm,어린이,2023-02-26,https://www.yes24.com//Product/Goods/117585533
나도 상처 받지 않고 친구도 상처 받지 않는 말하기 연습,71301.0,10.0,12150.0,31.0,116.0,292.0,168*210*8mm,어린이,2023-02-27,https://www.yes24.com//Product/Goods/117648733
기도는 사라지지 않는다,40974.0,9.9,19800.0,9.0,328.0,,140*200*30mm,종교,2023-05-16,https://www.yes24.com//Product/Goods/118858984
맡겨진 소녀,27894.0,9.7,11700.0,81.0,104.0,252.0,132*192*20mm,소설/시/희곡,2023-04-26,https://www.yes24.com//Product/Goods/118569079
사피엔스,144474.0,9.3,24120.0,471.0,636.0,968.0,152*215*35mm,인문,2015-11-23,https://www.yes24.com//Product/Goods/23030284
안녕 팝콘,25902.0,9.8,13500.0,19.0,44.0,402.0,237*283*9mm,유아,2022-12-05,https://www.yes24.com//Product/Goods/116015063
회복탄력성,85584.0,9.4,13320.0,30.0,268.0,378.0,148*210*17mm,자기계발,2019-03-29,https://www.yes24.com//Product/Goods/71743513
꽃을 보듯 너를 본다,139299.0,9.3,9900.0,195.0,184.0,300.0,130*225*20mm,소설/시/희곡,2015-06-20,https://www.yes24.com//Product/Goods/24259730
식물적 낙관,15873.0,10.0,14850.0,1.0,260.0,,130*200*20mm,에세이,2023-06-01,https://www.yes24.com//Product/Goods/119267889
K 배터리 레볼루션,218925.0,9.6,17100.0,31.0,232.0,392.0,145*210*19mm,경제 경영,2023-02-20,https://www.yes24.com//Product/Goods/117075493
허브 코헨의 협상의 기술 1,52434.0,9.2,15120.0,25.0,396.0,526.0,145*215*30mm,자기계발,2021-01-08,https://www.yes24.com//Product/Goods/96378464
ETS 토익 단기공략 750+ (LC+RC),110514.0,9.6,16200.0,64.0,488.0,1144.0,188*257*24mm,국어 외국어 사전,2020-08-20,https://www.yes24.com//Product/Goods/91868954
난세일기 亂世日記,10110.0,,16200.0,,360.0,542.0,150*222*23mm,인문,2023-06-15,https://www.yes24.com//Product/Goods/119590147
리얼리티 트랜서핑 3,37122.0,8.8,9900.0,13.0,264.0,346.0,153*224*20mm,자기계발,2009-05-15,https://www.yes24.com//Product/Goods/3401106
변비 탐정 실룩 1 ,18507.0,9.8,11700.0,32.0,104.0,300.0,150*210*11mm,어린이,2023-05-30,https://www.yes24.com//Product/Goods/119179064
"다정한 말, 단단한 말",129969.0,9.8,13950.0,27.0,64.0,348.0,190*237*8mm,어린이,2022-10-21,https://www.yes24.com//Product/Goods/114870683
흔한남매 과학 탐험대 7 생물 1,99096.0,9.9,12600.0,16.0,188.0,624.0,188*249*15mm,어린이,2023-03-15,https://www.yes24.com//Product/Goods/117959679
열세 살의 걷기 클럽,29142.0,9.8,10800.0,24.0,188.0,320.0,147*210*11mm,어린이,2023-04-27,https://www.yes24.com//Product/Goods/118619788
멘탈을 바꿔야 인생이 바뀐다,161640.0,9.0,15120.0,66.0,286.0,358.0,128*188*20mm,자기계발,2022-04-30,https://www.yes24.com//Product/Goods/108950154
달러구트 꿈 백화점 ,164901.0,9.2,12420.0,560.0,300.0,358.0,134*200*20mm,소설/시/희곡,2020-07-08,https://www.yes24.com//Product/Goods/91065309
타몬 군 지금 어느 쪽?! 3 ,13365.0,10.0,5400.0,2.0,168.0,168.0,117*175*20mm,만화/라이트노벨,2023-06-08,https://www.yes24.com//Product/Goods/119456814
이현석의 입이 트이는 영어 최고의 스피킹 60 - 취미생활 편,8994.0,10.0,14400.0,4.0,320.0,590.0,152*225*18mm,국어 외국어 사전,2023-05-31,https://www.yes24.com//Product/Goods/119456448
2023 한 권으로 끝내는 해커스 토익 실전 LC+RC 문제집 (모의고사+해설집),26025.0,10.0,16110.0,41.0,464.0,,188*257*30mm,국어 외국어 사전,2023-04-21,https://www.yes24.com//Product/Goods/118444149
1퍼센트 부자의 법칙,166959.0,9.7,15300.0,62.0,176.0,242.0,140*200*13mm,자기계발,2023-01-30,https://www.yes24.com//Product/Goods/117291807
백년허리1 진단편,149688.0,9.6,16650.0,21.0,484.0,355.0,175*220*13mm,건강 취미,2021-04-14,https://www.yes24.com//Product/Goods/99360153
몰입 합본판 (100쇄 기념 합본 에디션),55677.0,9.8,28800.0,25.0,632.0,932.0,145*205*35mm,자기계발,2020-07-29,https://www.yes24.com//Product/Goods/91304616
미드나잇 뮤지엄: 파리,21924.0,9.8,16920.0,54.0,306.0,520.0,145*210*16mm,예술,2023-05-17,https://www.yes24.com//Product/Goods/118755811
설민석의 한국사 대모험 24,102531.0,10.0,11700.0,98.0,184.0,500.0,188*257*10mm,어린이,2023-02-27,https://www.yes24.com//Product/Goods/117661785
나는 오를 아파트가 좋다,15294.0,10.0,18000.0,1.0,304.0,624.0,152*225*20mm,경제 경영,2023-06-02,https://www.yes24.com//Product/Goods/119288507
놓지 마 맞춤법 1,27303.0,9.4,12600.0,3.0,180.0,448.0,180*244*10mm,어린이,2023-05-25,https://www.yes24.com//Product/Goods/119149369
잘했고 잘하고 있고 잘 될 것이다 (스페셜 리미티드 에디션),105516.0,9.8,13500.0,131.0,308.0,390.0,127*188*20mm,에세이,2022-10-28,https://www.yes24.com//Product/Goods/101682634
신부 이야기 14,32124.0,10.0,7200.0,17.0,210.0,210.0,148*210*20mm,만화/라이트노벨,2023-05-30,https://www.yes24.com//Product/Goods/119177715
거의 모든 일상 표현의 영어,97968.0,9.9,15300.0,41.0,352.0,814.0,170*250*30mm,국어 외국어 사전,2022-11-01,https://www.yes24.com//Product/Goods/115081459
[예스리커버] 나는 주식 대신 달러를 산다,42114.0,9.1,14400.0,37.0,256.0,362.0,135*200*20mm,경제 경영,2021-05-30,https://www.yes24.com//Product/Goods/101780937
삐뽀삐뽀 119 이유식,117168.0,10.0,17010.0,11.0,376.0,884.0,187*233*20mm,가정 살림,2017-12-01,https://www.yes24.com//Product/Goods/57468926
28시간에 끝내는 토익스피킹 스타트,77748.0,9.5,16110.0,68.0,420.0,,188*257*30mm,국어 외국어 사전,2022-06-02,https://www.yes24.com//Product/Goods/29083333
작별의 건너편,10377.0,10.0,13950.0,62.0,256.0,326.0,128*188*20mm,소설/시/희곡,2023-05-31,https://www.yes24.com//Product/Goods/119268021
중국은 어떻게 실패하는가,26433.0,9.3,18000.0,10.0,416.0,570.0,147*219*20mm,사회 정치,2023-02-06,https://www.yes24.com//Product/Goods/117093986
마흔에 읽는 니체 (10만부 리커버 에디션),202806.0,9.2,14400.0,45.0,272.0,424.0,142*210*15mm,인문,2022-09-01,https://www.yes24.com//Product/Goods/112074056
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",313035.0,9.2,12600.0,148.0,376.0,354.0,128*188*19mm,소설/시/희곡,2021-06-28,https://www.yes24.com//Product/Goods/102360203
지적 대화를 위한 넓고 얕은 지식 2,89352.0,9.4,14400.0,57.0,334.0,542.0,152*210*30mm,인문,2020-02-01,https://www.yes24.com//Product/Goods/86545684
지적 대화를 위한 넓고 얕은 지식 제로,89334.0,9.5,17820.0,162.0,556.0,770.0,152*210*35mm,인문,2019-12-24,https://www.yes24.com//Product/Goods/84659792
산골 노승의 화려한 점심,46218.0,9.0,15300.0,1.0,248.0,380.0,152*215*16mm,종교,2023-05-19,https://www.yes24.com//Product/Goods/118856436
설득의 심리학 1,38709.0,9.6,28800.0,5.0,680.0,,148*210*35mm,자기계발,2023-04-26,https://www.yes24.com//Product/Goods/118483018
조선미의 현실 육아 상담소 ,24009.0,10.0,15750.0,48.0,272.0,350.0,140*205*17mm,가정 살림,2023-04-20,https://www.yes24.com//Product/Goods/118380549
철학의 숲,16992.0,8.9,14400.0,38.0,311.0,528.0,152*218*30mm,청소년,2020-08-26,https://www.yes24.com//Product/Goods/91901557
인간 실격,134193.0,8.7,8100.0,288.0,191.0,248.0,132*225*20mm,소설/시/희곡,2004-05-15,https://www.yes24.com//Product/Goods/1387488
일본어 무작정 따라하기 완전판,53574.0,9.8,23400.0,16.0,660.0,1152.0,174*243*35mm,국어 외국어 사전,2022-08-05,https://www.yes24.com//Product/Goods/111140141
내가 틀릴 수도 있습니다,319383.0,9.4,14400.0,180.0,312.0,446.0,132*200*30mm,인문,2022-04-18,https://www.yes24.com//Product/Goods/108850617
김영하의 세계문학 원정대 1,7932.0,10.0,13320.0,1.0,188.0,,184*249*20mm,어린이,2023-06-20,https://www.yes24.com//Product/Goods/119502163
돈은 좋지만 재테크는 겁나는 너에게,41988.0,9.8,14850.0,36.0,288.0,480.0,140*220*17mm,경제 경영,2023-02-01,https://www.yes24.com//Product/Goods/116992687
기분이 태도가 되지 말자,133131.0,6.2,14400.0,11.0,216.0,280.0,128*188*13mm,에세이,2022-11-25,https://www.yes24.com//Product/Goods/115633204
네 기분은 어떤 색깔이니?,76749.0,9.8,12600.0,36.0,40.0,366.0,215*270*9mm,유아,2023-01-09,https://www.yes24.com//Product/Goods/116867588
설민석의 삼국지 대모험 12,44847.0,10.0,9900.0,64.0,152.0,350.0,167*235*11mm,어린이,2023-05-18,https://www.yes24.com//Product/Goods/118977401
쓰이는 영문법 1,34311.0,9.9,18900.0,8.0,292.0,674.0,174*243*20mm,국어 외국어 사전,2023-05-30,https://www.yes24.com//Product/Goods/118922426
투자의 역사는 반드시 되풀이된다,38205.0,9.6,18000.0,24.0,356.0,,152*225*30mm,경제 경영,2023-05-22,https://www.yes24.com//Product/Goods/118755946
심리투자 불변의 법칙,12321.0,8.7,16200.0,13.0,320.0,578.0,152*225*30mm,경제 경영,2021-12-06,https://www.yes24.com//Product/Goods/105467404
전설로 떠나는 월가의 영웅,73212.0,9.6,23400.0,50.0,464.0,950.0,153*225*30mm,경제 경영,2021-07-30,https://www.yes24.com//Product/Goods/102951831
세계를 건너 너에게 갈게,143814.0,9.4,11250.0,109.0,224.0,368.0,140*205*14mm,청소년,2018-02-09,https://www.yes24.com//Product/Goods/58552371
인생에서 8가지 일에만 집중하라 ,14268.0,10.0,16920.0,2.0,288.0,390.0,148*215*13mm,자기계발,2023-07-10,https://www.yes24.com//Product/Goods/119479522
청약보다 쉬운 아파트 경매 책 ,15546.0,10.0,16200.0,10.0,336.0,504.0,152*225*21mm,경제 경영,2023-06-15,https://www.yes24.com//Product/Goods/119133869
건전지 엄마,31845.0,10.0,13500.0,52.0,48.0,408.0,210*275*10mm,유아,2023-04-21,https://www.yes24.com//Product/Goods/118534873
세상에서 가장 쉬운 본질육아 ,237564.0,9.8,16920.0,86.0,284.0,538.0,140*210*23mm,가정 살림,2022-09-28,https://www.yes24.com//Product/Goods/113450177
어떻게 말해줘야 할까,136542.0,9.8,15750.0,261.0,400.0,594.0,145*190*25mm,가정 살림,2020-10-25,https://www.yes24.com//Product/Goods/93522583
"챗GPT, 질문이 돈이 되는 세상 ",44511.0,9.7,16920.0,77.0,272.0,498.0,153*225*18mm,경제 경영,2023-05-20,https://www.yes24.com//Product/Goods/118543239
Do it! 점프 투 파이썬,8088.0,10.0,19800.0,2.0,432.0,898.0,188*257*15mm,IT 모바일,2023-06-15,https://www.yes24.com//Product/Goods/119293186
조이스박의 챗GPT 영어공부법,19845.0,9.7,17820.0,27.0,360.0,542.0,150*225*18mm,국어 외국어 사전,2023-05-13,https://www.yes24.com//Product/Goods/118759186
초수익 성장주 투자,66144.0,9.6,22500.0,37.0,400.0,700.0,152*225*24mm,경제 경영,2023-03-17,https://www.yes24.com//Product/Goods/117650984
체리새우 : 비밀글입니다,156396.0,9.5,10350.0,138.0,200.0,328.0,143*205*20mm,청소년,2019-01-28,https://www.yes24.com//Product/Goods/69240128
김명섭의 헬스 교실,24123.0,9.9,22320.0,26.0,224.0,592.0,188*257*10mm,건강 취미,2023-05-15,https://www.yes24.com//Product/Goods/118677563
아무도 행복하지 않은 나라,44697.0,9.6,16200.0,6.0,240.0,,145*225*20mm,사회 정치,2023-05-10,https://www.yes24.com//Product/Goods/118572287
해커스 토익 실전 1000제 1 RC Reading 문제집 (리딩),78198.0,9.6,10710.0,11.0,420.0,,188*257*30mm,국어 외국어 사전,2023-01-02,https://www.yes24.com//Product/Goods/116072450
지구 끝의 온실,119838.0,9.6,13500.0,238.0,392.0,420.0,130*187*20mm,소설/시/희곡,2021-08-18,https://www.yes24.com//Product/Goods/103026125
아주 작은 습관의 힘,147855.0,9.3,14400.0,250.0,360.0,642.0,152*225*20mm,자기계발,2019-02-26,https://www.yes24.com//Product/Goods/69655504
소설 보다 : 여름 2023,10080.0,10.0,3150.0,1.0,172.0,170.0,114*188*20mm,소설/시/희곡,2023-06-09,https://www.yes24.com//Product/Goods/119328859
임신 출산 육아 대백과,120348.0,8.4,17550.0,5.0,432.0,2000.0,230*300*30mm,가정 살림,2022-07-31,https://www.yes24.com//Product/Goods/111114379
0~5세 골든 브레인 육아법 ,14694.0,,16650.0,,348.0,486.0,145*210*22mm,가정 살림,2023-06-15,https://www.yes24.com//Product/Goods/119457623
투자 트렌드를 알면 100억이 보인다,48933.0,10.0,16020.0,5.0,248.0,412.0,152*225*15mm,경제 경영,2023-06-12,https://www.yes24.com//Product/Goods/119273907
각각의 계절,32637.0,9.0,13500.0,10.0,276.0,359.0,133*200*20mm,소설/시/희곡,2023-05-07,https://www.yes24.com//Product/Goods/118677758
2023 해커스 토익 LC 리스닝(Listening) 토익 기본서 ,88449.0,9.8,16920.0,16.0,620.0,1280.0,188*257*25mm,국어 외국어 사전,2023-01-02,https://www.yes24.com//Product/Goods/116020471
스틱!,100092.0,9.6,17100.0,49.0,476.0,636.0,145*215*24mm,경제 경영,2022-10-21,https://www.yes24.com//Product/Goods/114678945
영어회화 100일의 기적 ,51030.0,9.4,12600.0,5.0,256.0,,148*210*20mm,국어 외국어 사전,2022-09-05,https://www.yes24.com//Product/Goods/112234331
"돈, 뜨겁게 사랑하고 차갑게 다루어라",120978.0,9.4,10800.0,140.0,304.0,506.0,152*210*30mm,경제 경영,2015-09-30,https://www.yes24.com//Product/Goods/20398419
심리학이 관우에게 말하다 1,11160.0,,16020.0,,336.0,496.0,153*224*16mm,자기계발,2023-07-10,https://www.yes24.com//Product/Goods/119456266
2023 에듀윌 공인중개사 1차 단원별 기출문제집 ,55731.0,10.0,30600.0,28.0,940.0,,188*257*40mm,수험서 자격증,2023-01-31,https://www.yes24.com//Product/Goods/117165830
해커스톡 여행영어 10분의 기적,66018.0,9.6,8820.0,72.0,222.0,266.0,138*190*20mm,국어 외국어 사전,2019-01-02,https://www.yes24.com//Product/Goods/67505388
나 자신으로 살아가기,45918.0,8.8,13500.0,4.0,200.0,290.0,123*198*20mm,에세이,2023-05-25,https://www.yes24.com//Product/Goods/119105256
공자가 죽어야 나라가 산다,18684.0,10.0,7200.0,1.0,384.0,462.0,122*190*30mm,사회 정치,2023-06-01,https://www.yes24.com//Product/Goods/118997015
똑게육아,80190.0,9.9,19980.0,53.0,524.0,846.0,170*230*28mm,가정 살림,2022-02-23,https://www.yes24.com//Product/Goods/107513921
벌거벗은 세계사 : 잔혹사편,15504.0,10.0,20700.0,15.0,396.0,,165*235*30mm,역사,2023-05-30,https://www.yes24.com//Product/Goods/119014769
채사장의 지대넓얕 6 : 성장 VS 분배 ,49737.0,9.8,13500.0,30.0,160.0,,153*210*20mm,어린이,2023-04-05,https://www.yes24.com//Product/Goods/118040501
브라질에 비가 내리면 스타벅스 주식을 사라,160278.0,8.9,16200.0,38.0,392.0,696.0,152*225*30mm,경제 경영,2022-04-25,https://www.yes24.com//Product/Goods/108920694
"칵테일, 러브, 좀비",96714.0,9.4,9000.0,136.0,165.0,152.0,100*182*20mm,소설/시/희곡,2020-04-13,https://www.yes24.com//Product/Goods/89913383
코믹 블루록 17 ,6420.0,,5400.0,,200.0,200.0,128*188*20mm,만화/라이트노벨,2023-06-15,https://www.yes24.com//Product/Goods/119608819
꽂히는 글쓰기,26157.0,9.9,16920.0,42.0,336.0,582.0,133*200*26mm,자기계발,2023-05-21,https://www.yes24.com//Product/Goods/118754387
여섯 걸음,23829.0,10.0,16200.0,6.0,280.0,388.0,135*195*17mm,종교,2023-04-26,https://www.yes24.com//Product/Goods/118527650
고양이 해결사 깜냥 1 ,102969.0,9.6,9900.0,203.0,80.0,338.0,152*220*12mm,어린이,2020-03-27,https://www.yes24.com//Product/Goods/89525316
여행의 이유,67647.0,9.1,12150.0,465.0,216.0,355.0,130*200*20mm,에세이,2019-04-17,https://www.yes24.com//Product/Goods/71923011
"아들아, 주식 공부해야 한다 1 ",21030.0,9.8,25200.0,36.0,442.0,,185*240*30mm,경제 경영,2023-05-10,https://www.yes24.com//Product/Goods/118580285
만화 나 혼자만 레벨업 8 ,41943.0,9.9,13500.0,7.0,306.0,,150*210*18mm,만화/라이트노벨,2023-05-25,https://www.yes24.com//Product/Goods/118379109
2023 원큐패스 손해평가사 2차 기출문제+합격노트,11184.0,10.0,30600.0,8.0,368.0,770.0,190*260*16mm,수험서 자격증,2023-04-05,https://www.yes24.com//Product/Goods/118163895
5년 후 나에게 Q&A a day(2023 Sandglass Edition),203922.0,9.2,19800.0,501.0,368.0,,100*150*32mm,자기계발,2022-11-14,https://www.yes24.com//Product/Goods/22793441
고래,71079.0,8.9,13500.0,267.0,455.0,673.0,153*224*30mm,소설/시/희곡,2004-12-24,https://www.yes24.com//Product/Goods/1441810
초인류,9786.0,9.6,17100.0,10.0,380.0,696.0,152*225*23mm,경제 경영,2023-06-07,https://www.yes24.com//Product/Goods/119327705
고요한 우연,35319.0,9.8,11250.0,67.0,232.0,368.0,140*205*14mm,청소년,2023-02-20,https://www.yes24.com//Product/Goods/117519160
2023 박문각 공인중개사 최성진 부동산공법 비교정리특강,21168.0,,11700.0,,88.0,,297*210*15mm,수험서 자격증,2023-05-15,https://www.yes24.com//Product/Goods/118978557
해커스 토익 실전 1000제 1 LC Listening 문제집 (리스닝),73137.0,9.5,10710.0,8.0,240.0,,188*257*20mm,국어 외국어 사전,2023-01-02,https://www.yes24.com//Product/Goods/116072475
밝은 밤,106047.0,9.6,13050.0,322.0,344.0,478.0,145*210*21mm,소설/시/희곡,2021-07-27,https://www.yes24.com//Product/Goods/102687133
공정하다는 착각,125721.0,9.1,16200.0,234.0,420.0,764.0,153*224*30mm,사회 정치,2020-12-01,https://www.yes24.com//Product/Goods/94489333
페인트,95610.0,9.3,11700.0,168.0,204.0,310.0,152*210*20mm,청소년,2019-04-19,https://www.yes24.com//Product/Goods/72158875
알사탕,111399.0,9.8,10800.0,267.0,48.0,434.0,257*258*10mm,유아,2017-03-25,https://www.yes24.com//Product/Goods/37525716
"평생 저축밖에 몰랐던 66세 임 여사, 주식으로 돈 벌다",10404.0,10.0,17820.0,5.0,376.0,,152*225*30mm,경제 경영,2023-06-14,https://www.yes24.com//Product/Goods/119410692
2023 수제비 정보처리기사 실기 1권+2권 합본세트,38829.0,9.6,36000.0,13.0,942.0,,210*270*40mm,IT 모바일,2023-02-15,https://www.yes24.com//Product/Goods/117206088
[예스리커버] 10배의 법칙,116013.0,9.4,15120.0,81.0,392.0,524.0,143*215*30mm,경제 경영,2022-03-30,https://www.yes24.com//Product/Goods/108551597
순례 주택,117957.0,9.4,11700.0,95.0,256.0,312.0,135*194*18mm,청소년,2021-03-05,https://www.yes24.com//Product/Goods/97963475
데미안,117054.0,8.9,7200.0,343.0,239.0,327.0,132*225*20mm,소설/시/희곡,2000-12-20,https://www.yes24.com//Product/Goods/176787
2023 신용한 행정학 실전과 가장 유사한 군무원 7·9급 모의고사,10575.0,10.0,10800.0,1.0,176.0,,210*297*20mm,수험서 자격증,2023-05-25,https://www.yes24.com//Product/Goods/119131796
어디 있을까? 숨은그림찾기 1000,94575.0,9.8,7920.0,65.0,128.0,,221*280mm,유아,2022-05-20,https://www.yes24.com//Product/Goods/109368485
마케팅 설계자,87333.0,9.4,22320.0,33.0,472.0,722.0,152*220*28mm,경제 경영,2022-12-30,https://www.yes24.com//Product/Goods/116255710
이웃집 백만장자,38952.0,9.3,16920.0,112.0,376.0,526.0,153*224*30mm,경제 경영,2022-06-10,https://www.yes24.com//Product/Goods/109337831
고양이 해결사 깜냥 4,88800.0,9.9,9900.0,33.0,84.0,344.0,152*220*12mm,어린이,2022-01-21,https://www.yes24.com//Product/Goods/105981214
마법천자문 58,46923.0,9.7,12600.0,9.0,142.0,444.0,188*257*20mm,어린이,2023-05-08,https://www.yes24.com//Product/Goods/118569365
한 끼 뚝딱! 맘 편한 토핑 이유식,34932.0,10.0,18900.0,12.0,320.0,792.0,188*235*18mm,가정 살림,2023-05-03,https://www.yes24.com//Product/Goods/118543654
요괴어사,30927.0,10.0,16200.0,120.0,424.0,654.0,138*205*30mm,소설/시/희곡,2023-04-24,https://www.yes24.com//Product/Goods/118543173
에그박사 9,66903.0,10.0,13050.0,52.0,156.0,468.0,140*210*17mm,어린이,2023-03-28,https://www.yes24.com//Product/Goods/118066369
2023 신용한 지방자치론 최근 10년 단원별 기출문제집,13014.0,10.0,22500.0,4.0,328.0,,210*297*30mm,수험서 자격증,2023-03-20,https://www.yes24.com//Product/Goods/117876672
미움받을 용기 (200만 부 기념 스페셜 에디션),99411.0,9.5,14310.0,20.0,340.0,540.0,140*205*20mm,인문,2022-12-28,https://www.yes24.com//Product/Goods/116599423
생각에 관한 생각,70575.0,9.6,22500.0,66.0,727.0,1124.0,158*232*52mm,경제 경영,2018-03-30,https://www.yes24.com//Product/Goods/59580017
보도 섀퍼의 돈,66126.0,9.3,14400.0,80.0,388.0,578.0,152*225*20mm,자기계발,2011-05-17,https://www.yes24.com//Product/Goods/5141170
12가지 인생의 법칙 (40만 부 기념 스페셜 에디션),32367.0,8.7,16380.0,3.0,560.0,706.0,153*224*28mm,인문,2023-02-10,https://www.yes24.com//Product/Goods/117120573
2023 에듀윌 공인중개사 2차 기출응용 예상문제집 부동산세법,21495.0,10.0,26100.0,14.0,280.0,,188*257*20mm,수험서 자격증,2023-05-15,https://www.yes24.com//Product/Goods/118796606
나는 블로그로 월급보다 많이 번다,34413.0,10.0,15750.0,40.0,264.0,388.0,148*210*16mm,경제 경영,2023-05-17,https://www.yes24.com//Product/Goods/118762957
스킵과 로퍼 5 ,35628.0,10.0,5400.0,20.0,176.0,,127*180*20mm,만화/라이트노벨,2023-05-16,https://www.yes24.com//Product/Goods/118691686
나는 오래된 거리처럼 너를 사랑하고,98460.0,9.5,10800.0,37.0,140.0,224.0,128*205*10mm,소설/시/희곡,2022-08-31,https://www.yes24.com//Product/Goods/112220926
챗GPT 교육혁명,51912.0,10.0,16200.0,6.0,280.0,502.0,152*224*20mm,인문,2023-03-30,https://www.yes24.com//Product/Goods/117975229
"2023 큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",70329.0,10.0,17100.0,6.0,364.0,,235*310*30mm,수험서 자격증,2022-12-20,https://www.yes24.com//Product/Goods/116257800
"어서 오세요, 휴남동 서점입니다",223440.0,9.2,13500.0,167.0,364.0,464.0,140*205*21mm,소설/시/희곡,2022-01-17,https://www.yes24.com//Product/Goods/106211628
건전지 아빠,25485.0,9.8,11700.0,25.0,40.0,370.0,210*275*7mm,유아,2021-07-16,https://www.yes24.com//Product/Goods/102718423
똥 쌀 때 읽는 책,43614.0,9.5,11700.0,29.0,212.0,,130*190*18mm,에세이,2021-07-01,https://www.yes24.com//Product/Goods/102524146
왜 일하는가,88086.0,9.0,14400.0,83.0,268.0,426.0,137*195*21mm,경제 경영,2021-04-12,https://www.yes24.com//Product/Goods/99184511
망그러진 만화,65568.0,10.0,15120.0,35.0,344.0,490.0,140*190*30mm,에세이,2022-11-01,https://www.yes24.com//Product/Goods/114857322
고양이 해결사 깜냥 3,78186.0,9.8,9900.0,29.0,88.0,354.0,152*220*11mm,어린이,2021-06-11,https://www.yes24.com//Product/Goods/101960981
2024 문동균 한국사 한 권으로 모든 것을 정리하는 판서노트,8343.0,10.0,13500.0,2.0,160.0,,303*220*20mm,수험서 자격증,2023-05-31,https://www.yes24.com//Product/Goods/119115959
고양이 해결사 깜냥 2,79827.0,9.8,9900.0,32.0,100.0,380.0,152*220*12mm,어린이,2020-10-30,https://www.yes24.com//Product/Goods/93888046
The Secret 시크릿,93867.0,7.4,15120.0,617.0,230.0,434.0,145*185*20mm,자기계발,2007-06-22,https://www.yes24.com//Product/Goods/2599166
벌거벗은 세계사 : 경제편,22131.0,10.0,20700.0,48.0,412.0,802.0,165*235*26mm,역사,2023-04-28,https://www.yes24.com//Product/Goods/118608591
벌거벗은 한국사 한정판 박스 세트(3권),5826.0,,51660.0,,,1792.0,155*221*70mm,역사,2023-06-08,https://www.yes24.com//Product/Goods/118493848
김대석 셰프의 집밥 레시피 ,48726.0,9.6,16200.0,32.0,203.0,,188*250*20mm,가정 살림,2023-04-26,https://www.yes24.com//Product/Goods/118473339
아웃풋 법칙,36699.0,9.8,16920.0,51.0,320.0,496.0,140*205*20mm,자기계발,2023-04-28,https://www.yes24.com//Product/Goods/118414773
2023 에듀윌 산업안전기사 필기 한권끝장 [이론편+기출문제편],49611.0,9.6,31500.0,30.0,984.0,2228.0,205*260*45mm,수험서 자격증,2023-01-02,https://www.yes24.com//Product/Goods/115804563
일생에 단 한번은 독기를 품어라,58308.0,9.3,13500.0,34.0,224.0,292.0,128*188*14mm,자기계발,2022-12-18,https://www.yes24.com//Product/Goods/116069135
누구에게도 상처받을 필요는 없다,50520.0,9.8,12600.0,49.0,220.0,284.0,128*188*13mm,에세이,2022-04-08,https://www.yes24.com//Product/Goods/108586105
토니 로빈스 거인의 생각법,26481.0,9.6,17100.0,32.0,408.0,498.0,140*205*20mm,자기계발,2023-05-19,https://www.yes24.com//Product/Goods/118997065
어제 뭐 먹었어? 20,8610.0,,5400.0,,160.0,160.0,150*210*20mm,만화/라이트노벨,2023-06-07,https://www.yes24.com//Product/Goods/119467569
2023 박문각 공인중개사 정지웅 중개사법 기출지문특강 : 꼭! 반드시 다시 출제되는 지문,26085.0,10.0,11700.0,2.0,104.0,,210*297*20mm,수험서 자격증,2023-04-30,https://www.yes24.com//Product/Goods/118692861
그리스 로마 신화 33,40752.0,10.0,13500.0,16.0,196.0,666.0,188*257*15mm,어린이,2023-04-26,https://www.yes24.com//Product/Goods/118581783
당연하게도 나는 너를,37206.0,9.6,12150.0,4.0,208.0,270.0,124*188*14mm,청소년,2023-03-14,https://www.yes24.com//Product/Goods/117817658
오백 년째 열다섯 2,40938.0,10.0,12150.0,62.0,228.0,394.0,145*220*14mm,청소년,2023-02-28,https://www.yes24.com//Product/Goods/117584409
[예스리커버] 이 책은 돈 버는 법에 관한 이야기 ,156717.0,9.3,15120.0,61.0,268.0,402.0,145*210*18mm,경제 경영,2022-09-19,https://www.yes24.com//Product/Goods/112945396
빅터 프랭클의 죽음의 수용소에서,75786.0,9.4,11700.0,83.0,224.0,434.0,142*206*20mm,인문,2020-05-30,https://www.yes24.com//Product/Goods/90384709
마음 방울 채집 ,31716.0,10.0,17820.0,58.0,240.0,460.0,150*160*20mm,에세이,2023-05-09,https://www.yes24.com//Product/Goods/118679981
외로운 건 싫은데 혼자 있고 싶어,9942.0,,15120.0,,248.0,,130*210*15mm,에세이,2023-06-21,https://www.yes24.com//Product/Goods/119456367
하루의 사랑작업,12411.0,10.0,16200.0,2.0,336.0,402.0,135*200*18mm,자기계발,2023-06-15,https://www.yes24.com//Product/Goods/119456249
